,Question,Equation,Combined,Answer
832,w birds and x storks were sitting on the fence. 2 more storks came to join them. How many more birds than storks are sitting on the fence?,( w - ( x + y ) ),6 birds and 3 storks were sitting on the fence. 2 more storks came to join them. How many more birds than storks are sitting on the fence?,1
833,There are w different books and x different movies in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more books do you still have to read?,( w - y ),There are 22 different books and 10 different movies in the ' crazy silly school ' series. If you read 12 of the books and watched 56 of the movies How many more books do you still have to read?,10
834,There were w people on the bus. At the next stop x more people got on the bus. Each bus can not have more than y people. How many people are there on the bus now?,( w + x ),There were 12 people on the bus. At the next stop 4 more people got on the bus. Each bus can not have more than 36 people. How many people are there on the bus now?,16
835,"A grocery store had w bottles of regular soda, x bottles of diet soda and y bottles of lite soda. How many bottles did they have total?",( ( w + x ) + y ),"A grocery store had 57 bottles of regular soda, 26 bottles of diet soda and 27 bottles of lite soda. How many bottles did they have total?",110
836,Because of the decision Sofia asked w students to suggest specific types of food. x students suggested adding bacon while others suggested adding mashed potatoes to the menu. How many students suggested mashed potatoes?,( w - x ),Because of the decision Sofia asked 288 students to suggest specific types of food. 264 students suggested adding bacon while others suggested adding mashed potatoes to the menu. How many students suggested mashed potatoes?,24
837,Edward spent $ w. Then he spent $ x more. Now he has $ y. How much did Edward have before he spent his money?,( ( w + x ) + y ),Edward spent $ 9. Then he spent $ 8 more. Now he has $ 17. How much did Edward have before he spent his money?,34
838,Winter is almost here and most animals are migrating to warmer countries. There are w bird families living near the mountain. If x bird families flew away to africa and y bird families flew away to asia How many bird families were left near the mountain?,( w - ( x + y ) ),Winter is almost here and most animals are migrating to warmer countries. There are 85 bird families living near the mountain. If 23 bird families flew away to africa and 37 bird families flew away to asia How many bird families were left near the mountain?,25
839,In a school there are w girls and x boys. y more girls joined the school. How many girls are there in the school now?,( w + y ),In a school there are 902 girls and 811 boys. 44 more girls joined the school. How many girls are there in the school now?,946
840,Dan has $ w. He bought a chocolate for $ x and a candy bar for $ y. How much money did he spend to buy chocolate than he did to buy candy bar?,( x - y ),Dan has $ 4. He bought a chocolate for $ 7 and a candy bar for $ 2. How much money did he spend to buy chocolate than he did to buy candy bar?,5
841,At the arcade Dave had won w tickets. If he used x to buy some toys and y more to buy some clothes How many tickets did Dave have left?,( w - ( x + y ) ),At the arcade Dave had won 18 tickets. If he used 5 to buy some toys and 11 more to buy some clothes How many tickets did Dave have left?,2
842,The school is planning a field trip. The school has w classrooms. There are x students in the school with each classroom having the same number of students. There are y seats on each school bus. How many students are in each class?,( x / w ),The school is planning a field trip. The school has 24 classrooms. There are 120 students in the school with each classroom having the same number of students. There are 84 seats on each school bus. How many students are in each class?,5
843,He then went to see the oranges being harvested. He found out that the harvest will go on for w days. How many sacks do they harvest per day if they harvested a total of x sacks of oranges?,( x / w ),He then went to see the oranges being harvested. He found out that the harvest will go on for 4 days. How many sacks do they harvest per day if they harvested a total of 56 sacks of oranges?,14
844,There were w roses in the vase. Jessica threw away x roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now y roses in the vase. How many more roses did she throw away than those she cut from her garden?,( w - y ),There were 21 roses in the vase. Jessica threw away 34 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 15 roses in the vase. How many more roses did she throw away than those she cut from her garden?,6
845,Allan brought w balloons and Jake brought x balloons to the park. Allan then bought y more balloons at the park. How many more balloons did Jake have than Allan in the park?,( x - ( w + y ) ),Allan brought 2 balloons and Jake brought 6 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Jake have than Allan in the park?,1
846,He then went to see the oranges being harvested. He found out that they harvest w sacks of ripe oranges and x sacks of unripe oranges per day. How many sacks of oranges will they have after y days of harvest?,( ( w + x ) * y ),He then went to see the oranges being harvested. He found out that they harvest 28 sacks of ripe oranges and 52 sacks of unripe oranges per day. How many sacks of oranges will they have after 26 days of harvest?,2080
847,Together Adam and Jackie have w apples. He has x apples more than adam and jackie together do. How many apples does he have?,( w + x ),Together Adam and Jackie have 6 apples. He has 4 apples more than adam and jackie together do. How many apples does he have?,10
848,"After a typhoon, w trees in Haley's backyard died. If she had grown x trees initially How many more trees survived the typhoon than those that died?",( ( x - w ) - w),"After a typhoon, 2 trees in Haley's backyard died. If she had grown 11 trees initially How many more trees survived the typhoon than those that died?",7
849,Allan brought w balloons and Jake brought x balloons to the park. Jake then bought y more balloons at the park. How many balloons did Jake bring to the park?,( x + y ),Allan brought 5 balloons and Jake brought 6 balloons to the park. Jake then bought 3 more balloons at the park. How many balloons did Jake bring to the park?,9
850,The Razorback shop makes $ w dollars off each t-shirt and $ x off each jersey. During the Arkansas and Texas tech game they sold y t-shirts and z jerseys. How much money did they make from selling the t-shirts?,( w * y ),The Razorback shop makes $ 62 dollars off each t-shirt and $ 99 off each jersey. During the Arkansas and Texas tech game they sold 183 t-shirts and 31 jerseys. How much money did they make from selling the t-shirts?,11346
851,David did w more push-ups than Zachary in gym class today. If David did x push-ups How many push-ups did Zachary do?,( x - w ),David did 30 more push-ups than Zachary in gym class today. If David did 37 push-ups How many push-ups did Zachary do?,7
852,Marco and his dad went strawberry picking. Marco's strawberries weighed w pounds. If together their strawberries weighed x pounds. How much more did his strawberries weigh than his dad's?,( w - ( x - w) ),Marco and his dad went strawberry picking. Marco's strawberries weighed 30 pounds. If together their strawberries weighed 47 pounds. How much more did his strawberries weigh than his dad's?,13
853,Faye was placing her pencils and crayons into w rows with x crayons and y pencils in each row. How many crayons does she have?,( w * x ),Faye was placing her pencils and crayons into 16 rows with 6 crayons and 21 pencils in each row. How many crayons does she have?,96
854,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many emails did Jack receive in the morning and evening?",( w + y ),"Jack received 3 emails in the morning, 4 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the morning and evening?",11
855,Jesse's room is w feet long. If she needs a carpet of size x square feet What is the width of her room?,( x / w ),Jesse's room is 7 feet long. If she needs a carpet of size 14 square feet What is the width of her room?,2
856,Debby bought w water bottles when they were on sale. If she drank x bottles a day for y days. How many bottles does she have left?,( w - ( x * y ) ),Debby bought 264 water bottles when they were on sale. If she drank 15 bottles a day for 11 days. How many bottles does she have left?,99
857,w campers went rowing in the morning x campers went rowing in the afternoon and y campers went rowing in the evening. How many more campers went rowing in the afternoon than in the evening?,( x - y ),33 campers went rowing in the morning 34 campers went rowing in the afternoon and 10 campers went rowing in the evening. How many more campers went rowing in the afternoon than in the evening?,24
858,Bryan took a look at his books and magazines. If he has w books and x magazines in each of his y bookshelves How many books and magazines does he have in total?,( ( w + x ) * y ),Bryan took a look at his books and magazines. If he has 23 books and 61 magazines in each of his 29 bookshelves How many books and magazines does he have in total?,2436
859,Faye was placing her pencils and crayons into w rows with x pencils and y crayons in each row. How many crayons does she have?,( w * y ),Faye was placing her pencils and crayons into 7 rows with 36 pencils and 30 crayons in each row. How many crayons does she have?,210
860,Baker made w cakes and x pastries. If he sold y cakes and z pastries How many pastries would baker still have?,( x - z ),Baker made 7 cakes and 148 pastries. If he sold 15 cakes and 103 pastries How many pastries would baker still have?,45
861,Robin cut off w inches of his hair. If his hair was x inches long initially How long is his hair now?,( x - w ),Robin cut off 13 inches of his hair. If his hair was 14 inches long initially How long is his hair now?,1
862,"They decided to hold the party in their backyard. They have w sets of tables, each having the same number of chairs. If there are a total of x chairs in the backyard How many chairs are there for each table?",( x / w ),"They decided to hold the party in their backyard. They have 2 sets of tables, each having the same number of chairs. If there are a total of 12 chairs in the backyard How many chairs are there for each table?",6
863,Debby bought w water bottles and x soda bottles when they were on sale. If she drank y water bottles and z soda bottles a day How many days would the water bottles last?,( w / y ),Debby bought 88 water bottles and 13 soda bottles when they were on sale. If she drank 4 water bottles and 87 soda bottles a day How many days would the water bottles last?,22
864,Last week Fred had w dollars and Jason had x dollars. Jason washed cars over the weekend and now has y dollars. How much money did Jason make washing cars?,( y - x ),Last week Fred had 60 dollars and Jason had 19 dollars. Jason washed cars over the weekend and now has 33 dollars. How much money did Jason make washing cars?,14
865,Paul sold some books in a garage sale leaving him with w books. If he had x books initially How many books did he sell?,( x - w ),Paul sold some books in a garage sale leaving him with 27 books. If he had 136 books initially How many books did he sell?,109
866,Next on his checklist is wax to stick the feathers together. If the feathers require w g of wax and right now he has x g How many more grams of wax does he need?,( w - x ),Next on his checklist is wax to stick the feathers together. If the feathers require 166 g of wax and right now he has 20 g How many more grams of wax does he need?,146
867,The bananas in Philip's collection are organized into w groups. If there are a total of x bananas in Philip's banana collection How big is each group?,( x / w ),The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,2
868,The grasshopper and the frog had a jumping contest. The grasshopper jumped w inches and the frog jumped x inches. How much farther did the frog jump than the grasshopper?,( x - w ),The grasshopper and the frog had a jumping contest. The grasshopper jumped 9 inches and the frog jumped 12 inches. How much farther did the frog jump than the grasshopper?,3
869,In Haley's class w boys love to play marbles and x boys love to play cards. If Haley has y marbles How many will each of the boys receive?,( y / w ),In Haley's class 13 boys love to play marbles and 50 boys love to play cards. If Haley has 26 marbles How many will each of the boys receive?,2
870,Steven has w peaches. Jake has x fewer peaches than Steven who has y more peaches than Jill. How many peaches does Jill have?,( w - y ),Steven has 18 peaches. Jake has 12 fewer peaches than Steven who has 8 more peaches than Jill. How many peaches does Jill have?,10
871,In Haley's class w are boys who love to play marbles. If Haley gives x marbles to each boy How many marbles did she have?,( w * x ),In Haley's class 11 are boys who love to play marbles. If Haley gives 9 marbles to each boy How many marbles did she have?,99
872,Ed had w more marbles than Doug. Ed lost x of his marbles at the playground. If Ed had y marbles How many more marbles did Ed have than Doug then?,( w - x ),Ed had 30 more marbles than Doug. Ed lost 21 of his marbles at the playground. If Ed had 91 marbles How many more marbles did Ed have than Doug then?,9
873,A farmer had w green tomatoes and x red tomatoes in his garden. If he picked y tomatoes How many tomatoes are left?,( ( w + x ) - y ),A farmer had 105 green tomatoes and 71 red tomatoes in his garden. If he picked 137 tomatoes How many tomatoes are left?,39
874,Lewis earns $ w every week during the x weeks of harvest. If he has to pay $ y tax How much money will have at the end of the harvest season?,( ( w * x ) - y ),Lewis earns $ 21 every week during the 216 weeks of harvest. If he has to pay $ 702 tax How much money will have at the end of the harvest season?,3834
875,Nell collects baseball cards. She had w cards while Jeff had x cards. She gave some of her cards to Jeff and now has y cards left. How many cards does Jeff have now?,( ( x + w ) - y ),Nell collects baseball cards. She had 566 cards while Jeff had 234 cards. She gave some of her cards to Jeff and now has 535 cards left. How many cards does Jeff have now?,265
876,Rebecca wants to split a collection of marbles into groups of w. Rebecca has x eggs and y marbles. How many groups will be created?,( y / w ),Rebecca wants to split a collection of marbles into groups of 4. Rebecca has 10 eggs and 20 marbles. How many groups will be created?,5
877,Matthew had w crackers. He has x crackers left after he gave equal numbers of crackers to his y friends. How many crackers did Matthew give to his friends?,( w - x ),Matthew had 31 crackers. He has 23 crackers left after he gave equal numbers of crackers to his 5 friends. How many crackers did Matthew give to his friends?,8
878,An industrial machine can make w shirts a minute. It worked for x minutes yesterday and for y minutes today. How many shirts did machine make today?,( w * y ),An industrial machine can make 6 shirts a minute. It worked for 5 minutes yesterday and for 12 minutes today. How many shirts did machine make today?,72
879,Marco and his dad went strawberry picking. Marco's strawberries weighed w pounds. If together their strawberries weighed x pounds. How much more did his dad's strawberries weigh than his?,( ( x - w ) - w),Marco and his dad went strawberry picking. Marco's strawberries weighed 10 pounds. If together their strawberries weighed 26 pounds. How much more did his dad's strawberries weigh than his?,6
880,Rachel picked w apples from her tree. If the tree had x apples initially. How many apples are still there on the tree?,( x - w ),Rachel picked 4 apples from her tree. If the tree had 7 apples initially. How many apples are still there on the tree?,3
881,"After making some pies, chef had w apples left. Initially he had x apples How many apples did he use?",( x - w ),"After making some pies, chef had 2 apples left. Initially he had 43 apples How many apples did he use?",41
882,Allan brought w balloons and x balls while Jake brought y balloons and z balls to the park. How many balloons did Allan and Jake have in the park?,( w + y ),Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park. How many balloons did Allan and Jake have in the park?,8
883,There were w dollars in Olivia's wallet. She collected x more dollars from an atm. After she visited a supermarket there were y dollars left. How much more money did she spend at the supermarket than she collected at the atm?,( w - y ),There were 53 dollars in Olivia's wallet. She collected 91 more dollars from an atm. After she visited a supermarket there were 14 dollars left. How much more money did she spend at the supermarket than she collected at the atm?,39
884,Faye was placing some pencils equally into w rows. If she had x pencils How many pencils did she place in each row?,( x / w ),Faye was placing some pencils equally into 2 rows. If she had 6 pencils How many pencils did she place in each row?,3
885,Julia played tag with w kids on monday. She played tag with some more kids on tuesday. If she played with a total of x kids How many kids did she play with on tuesday?,( x - w ),Julia played tag with 5 kids on monday. She played tag with some more kids on tuesday. If she played with a total of 15 kids How many kids did she play with on tuesday?,10
886,Danny collects bottle caps. He threw away w of the old ones at the park while he found x bottle caps new ones. Now he has z bottle caps in his collection. How many more bottle caps did danny find at the park than those he threw away?,( x - w ),Danny collects bottle caps. He threw away 6 of the old ones at the park while he found 50 bottle caps new ones. Now he has 60 bottle caps in his collection. How many more bottle caps did danny find at the park than those he threw away?,44
887,Paco had w cookies. He gave x cookies to his friend and ate y cookies. How many cookies did Paco have left?,( ( w - y ) - x ),Paco had 36 cookies. He gave 14 cookies to his friend and ate 10 cookies. How many cookies did Paco have left?,12
888,They decided to hold the party in their backyard. If they have w sets of tables and each set has x chairs How many more chairs than tables do they have?,( ( w * x ) - w),They decided to hold the party in their backyard. If they have 5 sets of tables and each set has 10 chairs How many more chairs than tables do they have?,45
889,After resting they decided to go for a swim. The depth of the water is w times Ron's height. Dean is x feet taller than Ron. If Ron stands at y feet How deep was the water?,( y * w ),After resting they decided to go for a swim. The depth of the water is 16 times Ron's height. Dean is 9 feet taller than Ron. If Ron stands at 13 feet How deep was the water?,208
890,A farmer had w tomatoes and x potatoes in his garden. If he picked y tomatoes How many tomatoes and potatoes does he have left?,( ( w + x ) - y ),A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,136
891,"w red peaches, x yellow peaches and y green peaches are in the basket. How many more green peaches than red peaches are in the basket?",( y - w ),"7 red peaches, 71 yellow peaches and 8 green peaches are in the basket. How many more green peaches than red peaches are in the basket?",1
892,w campers went rowing in the morning. x campers went rowing in the afternoon. How many more campers went rowing in the afternoon than in the morning?,( x - w ),52 campers went rowing in the morning. 61 campers went rowing in the afternoon. How many more campers went rowing in the afternoon than in the morning?,9
893,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y orchids and z roses in the vase. How many roses did she cut?,( z - w ),There were 13 roses and 84 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 91 orchids and 14 roses in the vase. How many roses did she cut?,1
894,Debby bought some water bottles when they were on sale. She drank w bottles a day. If the bottles lasted for x days How many bottles had she bought?,( w * x ),Debby bought some water bottles when they were on sale. She drank 109 bottles a day. If the bottles lasted for 74 days How many bottles had she bought?,8066
895,Edward spent $ w to buy x books each book costing him the same amount of money. Now he has $ y. How much did each book cost?,( w / x ),Edward spent $ 6 to buy 2 books each book costing him the same amount of money. Now he has $ 12. How much did each book cost?,3
896,Robin has w packages of gum and x packages of candy. There are y pieces in each package. How many pieces does Robin have?,( ( w + x ) / y ),Robin has 28 packages of gum and 14 packages of candy. There are 6 pieces in each package. How many pieces does Robin have?,7
897,There are w different movies and x different books in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more movies than books are there in the ' crazy silly school ' series?,( w - x ),There are 17 different movies and 11 different books in the ' crazy silly school ' series. If you read 13 of the books and watched 63 of the movies How many more movies than books are there in the ' crazy silly school ' series?,6
898,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many emails did Jack receive in the morning and afternoon?",( w + x ),"Jack received 5 emails in the morning, 8 emails in the afternoon and 72 emails in the evening. How many emails did Jack receive in the morning and afternoon?",13
899,Randy uses w blocks to build a tower. If he had x blocks How many blocks are left?,( x - w ),Randy uses 36 blocks to build a tower. If he had 59 blocks How many blocks are left?,23
900,Marco and his dad went strawberry picking. Together their strawberries weighed w pounds. His dad's strawberries weighed x pounds. How much did marco's strawberries weigh?,( w - x ),Marco and his dad went strawberry picking. Together their strawberries weighed 20 pounds. His dad's strawberries weighed 17 pounds. How much did marco's strawberries weigh?,3
901,Haley grew w trees in her backyard. After a typhoon x died. Then she grew y more trees. How many trees does she have left?,( ( w - x ) + y ),Haley grew 9 trees in her backyard. After a typhoon 4 died. Then she grew 5 more trees. How many trees does she have left?,10
902,Stray cats loved eating goldfish in the pond leaving w goldfish. Paige had raised x goldfish in the pond initially. How many goldfish disappeared?,( x - w ),Stray cats loved eating goldfish in the pond leaving 6 goldfish. Paige had raised 8 goldfish in the pond initially. How many goldfish disappeared?,2
903,Danny collects bottle caps and wrappers. He found w bottle caps and x wrappers at the park. Now he has y wrappers and z bottle caps in his collection. How many more bottle caps than wrappers does danny have now?,( z - y ),Danny collects bottle caps and wrappers. He found 58 bottle caps and 25 wrappers at the park. Now he has 11 wrappers and 12 bottle caps in his collection. How many more bottle caps than wrappers does danny have now?,1
904,Mary is baking a cake. The recipe calls for w cups of flour and x cups of sugar. She already put in y cups of sugar. How many more cups of flour than cups of sugar does she need to add now?,( w - ( x - y ) ),Mary is baking a cake. The recipe calls for 9 cups of flour and 6 cups of sugar. She already put in 4 cups of sugar. How many more cups of flour than cups of sugar does she need to add now?,7
905,Jesse's room is w feet long and x feet wide. If each tile is of size y square feet How many tiles does she need to cover the whole floor?,( ( w * x ) / y ),Jesse's room is 2 feet long and 12 feet wide. If each tile is of size 4 square feet How many tiles does she need to cover the whole floor?,6
906,An industrial machine can make w shirts a minute. It worked for x minutes yesterday and for y shirts today. How many shirts did machine make altogether?,( w * ( x + y ) ),An industrial machine can make 6 shirts a minute. It worked for 12 minutes yesterday and for 14 shirts today. How many shirts did machine make altogether?,156
907,Paco had w sweet cookies and x salty cookies. He ate y sweet cookies and 3 salty cookies. How many salty cookies did Paco have left?,( x - z ),Paco had 9 sweet cookies and 6 salty cookies. He ate 36 sweet cookies and 3 salty cookies. How many salty cookies did Paco have left?,3
908,Robin cut off w inches of his hair. If his hair is now x inches long How long was his hair before he cut?,( w + x ),Robin cut off 20 inches of his hair. If his hair is now 10 inches long How long was his hair before he cut?,30
909,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The frog jumped x inches farther than the grasshopper and the mouse jumped y inches farther than the frog. How far did the frog jump?",( w + x ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 36 inches. The frog jumped 17 inches farther than the grasshopper and the mouse jumped 15 inches farther than the frog. How far did the frog jump?",53
910,Robin has w packages of gum and x packages of candy. There are y pieces in each package. How many pieces of gum does Robin have?,( w * y ),Robin has 28 packages of gum and 13 packages of candy. There are 4 pieces in each package. How many pieces of gum does Robin have?,112
911,Baker made w cakes and x pastries. If he sold y cakes and z pastries How many more cakes than pastries did baker sell?,( y - z ),Baker made 157 cakes and 169 pastries. If he sold 158 cakes and 147 pastries How many more cakes than pastries did baker sell?,11
912,In a school there are w girls and the rest are boys. If there are x more girls than boys How many pupils are there in that school?,( ( w + w) - x ),In a school there are 868 girls and the rest are boys. If there are 281 more girls than boys How many pupils are there in that school?,1455
913,David did w push-ups in gym class today. David did x more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,( ( w + w) - x ),David did 51 push-ups in gym class today. David did 49 more push-ups than Zachary. How many push-ups did Zachary and David do altogether?,53
914,Winter is almost here and most animals are migrating to warmer countries. There were w bird families living near the mountain. If x bird families flew away for winter How many more bird families stayed behind than those that flew away for the winter?,( ( w - x ) - x),Winter is almost here and most animals are migrating to warmer countries. There were 87 bird families living near the mountain. If 7 bird families flew away for winter How many more bird families stayed behind than those that flew away for the winter?,73
915,A school has w pupils. There are x girls and the rest are boys. How many boys are there in that school?,( w - x ),A school has 485 pupils. There are 232 girls and the rest are boys. How many boys are there in that school?,253
916,Baker made w pastries and x cakes. If he sold y cakes and z pastries How many more pastries than cakes did baker make?,( w - x ),Baker made 134 pastries and 11 cakes. If he sold 140 cakes and 92 pastries How many more pastries than cakes did baker make?,123
917,Nell collects baseball cards. She had w cards while Jeff had x cards. She gave some of her cards to jeff and now has y cards left. How many cards did Nell give to Jeff?,( w - y ),Nell collects baseball cards. She had 528 cards while Jeff had 11 cards. She gave some of her cards to jeff and now has 252 cards left. How many cards did Nell give to Jeff?,276
918,The school is planning a field trip. The school has w classrooms. There are x students in the school and y seats on each school bus. If z students do n't want to go for the trip How many buses are needed to take the trip?,( ( x - z ) / y ),The school is planning a field trip. The school has 66 classrooms. There are 102 students in the school and 8 seats on each school bus. If 22 students do n't want to go for the trip How many buses are needed to take the trip?,10
919,w people can ride the Ferris wheel in paradise park at the same time. If each seat on the Ferris wheel can hold x people How many seats does the Ferris wheel have?,( w / x ),4 people can ride the Ferris wheel in paradise park at the same time. If each seat on the Ferris wheel can hold 2 people How many seats does the Ferris wheel have?,2
920,Dave had w apps and x files on his phone. After deleting some apps and files he had y files and z apps left. How many more apps than files does he have left on the phone?,( z - y ),Dave had 24 apps and 9 files on his phone. After deleting some apps and files he had 5 files and 12 apps left. How many more apps than files does he have left on the phone?,7
921,w campers went rowing in the morning x campers went rowing in the afternoon and y campers went rowing in the evening. How many more campers went rowing in the morning than in the afternoon?,( w - x ),44 campers went rowing in the morning 39 campers went rowing in the afternoon and 31 campers went rowing in the evening. How many more campers went rowing in the morning than in the afternoon?,5
922,"Frank was reading through his favorite book. The book had w chapters, each with the same number of pages. It has a total of x pages. It took Frank y days to finish the book. How many pages are in each chapter?",( x / w ),"Frank was reading through his favorite book. The book had 3 chapters, each with the same number of pages. It has a total of 594 pages. It took Frank 607 days to finish the book. How many pages are in each chapter?",198
923,Jesse has w square feet of carpet. If her room is x feet long and y feet wide How much more carpet does she need to cover the whole floor?,( ( x * y ) - w ),Jesse has 18 square feet of carpet. If her room is 4 feet long and 20 feet wide How much more carpet does she need to cover the whole floor?,62
924,There are many different books in the ' crazy silly school ' series. If you have read w of the books and are yet to read x books How many books are there in the ' crazy silly school ' series?,( w + x ),There are many different books in the ' crazy silly school ' series. If you have read 13 of the books and are yet to read 8 books How many books are there in the ' crazy silly school ' series?,21
925,Nell collects cards. She had w baseball cards and x Ace cards. She gave some of her cards to Jeff and now has y Ace cards and z baseball cards left. How many more baseball cards than Ace cards does Nell have?,( z - y ),Nell collects cards. She had 438 baseball cards and 18 Ace cards. She gave some of her cards to Jeff and now has 55 Ace cards and 178 baseball cards left. How many more baseball cards than Ace cards does Nell have?,123
926,Matthew had w crackers. If Matthew gave equal numbers of crackers to his x friends and still had y crackers left How many crackers did Matthew give to his friends?,( w - y ),Matthew had 24 crackers. If Matthew gave equal numbers of crackers to his 3 friends and still had 17 crackers left How many crackers did Matthew give to his friends?,7
927,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped w inches. The grasshopper jumped x inches farther than the frog and the mouse jumped y inches lesser than the frog. How much farther did the grasshopper jump than the mouse?",( x + y ),"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 21 inches. The grasshopper jumped 25 inches farther than the frog and the mouse jumped 16 inches lesser than the frog. How much farther did the grasshopper jump than the mouse?",41
928,They decided to hold the party in their backyard. They have w sets of tables and each set has x chairs. If there are y people sitting on chairs How many chairs are left unoccupied?,( ( w * x ) - y ),They decided to hold the party in their backyard. They have 10 sets of tables and each set has 6 chairs. If there are 11 people sitting on chairs How many chairs are left unoccupied?,49
929,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that w visitors came to the Buckingham palace that day. If there were x visitors the previous day and y visitors the day before that How many visited the Buckingham palace within the past z days?",( ( w + x ) + y ),"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 512 visitors came to the Buckingham palace that day. If there were 471 visitors the previous day and 808 visitors the day before that How many visited the Buckingham palace within the past 89 days?",1791
930,He then went to see the oranges being harvested. He found out that they harvest w sacks of ripe oranges and x sacks of unripe oranges per day. How many more sacks of ripe oranges than unripe oranges are harvested per day?,( w - x ),He then went to see the oranges being harvested. He found out that they harvest 44 sacks of ripe oranges and 25 sacks of unripe oranges per day. How many more sacks of ripe oranges than unripe oranges are harvested per day?,19
931,White t - shirts can be purchased in packages of w. If mom buys x packages of white t - shirts and y trousers How many white t - shirts will she have?,( w * x ),White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers How many white t - shirts will she have?,3021
932,Paul had w books. After selling some in a garage sale he bought x new ones. If he has y books now How many books did he sell?,( ( w + x ) - y ),Paul had 2 books. After selling some in a garage sale he bought 150 new ones. If he has 58 books now How many books did he sell?,94
933,w storks and x birds were sitting on the fence. y more birds came to join them. How many more storks than birds are sitting on the fence?,( w - ( x + y ) ),6 storks and 2 birds were sitting on the fence. 3 more birds came to join them. How many more storks than birds are sitting on the fence?,1
934,Bryan took a look at his books and magazines. If he has w books and x magazines in each of his y bookshelves How many books does he have in total?,( w * y ),Bryan took a look at his books and magazines. If he has 27 books and 80 magazines in each of his 23 bookshelves How many books does he have in total?,621
935,Paul got a box of w crayons and x erasers for his birthday. At the end of the school year he only had y left while not having lost a single erasers. How many more crayons than erasers did he have left?,( y - x ),Paul got a box of 531 crayons and 38 erasers for his birthday. At the end of the school year he only had 391 left while not having lost a single erasers. How many more crayons than erasers did he have left?,353
936,Lewis earns a total of $ w during the harvest. If he earns $ x each week How many weeks did the harvest last?,( w / x ),Lewis earns a total of $ 1216 during the harvest. If he earns $ 16 each week How many weeks did the harvest last?,76
937,Dave had w apps on his phone. He added x new apps. After deleting some he had y left. How many apps did he delete?,( ( w + x ) - y ),Dave had 10 apps on his phone. He added 11 new apps. After deleting some he had 4 left. How many apps did he delete?,17
938,The ring toss game at the carnival made the same amount of money each day. In total in w days they earned x dollars. How much did they make per day?,( x / w ),The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,33
939,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y roses and 2 orchids in the vase. How many more roses than orchids are there in the vase now?,( y - z ),There were 5 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 12 roses and 2 orchids in the vase. How many more roses than orchids are there in the vase now?,10
940,The Ferris wheel in paradise park has some seats. Each seat can hold w people. If x people can ride the wheel at the same time How many seats does the Ferris wheel have?,( x / w ),The Ferris wheel in paradise park has some seats. Each seat can hold 9 people. If 18 people can ride the wheel at the same time How many seats does the Ferris wheel have?,2
941,Dave had some apps on his phone. After deleting w of them he had x left. How many apps did he have on his phone at the start?,( w + x ),Dave had some apps on his phone. After deleting 18 of them he had 5 left. How many apps did he have on his phone at the start?,23
942,There are w different movies and x different books in the ' crazy silly school ' series. If you read y of the books and watched z of the movies How many more books than movies are there in the ' crazy silly school ' series?,( x - w ),There are 14 different movies and 15 different books in the ' crazy silly school ' series. If you read 11 of the books and watched 40 of the movies How many more books than movies are there in the ' crazy silly school ' series?,1
943,Randy has w blocks. He uses x blocks to build a tower and y blocks to build a house. How many more blocks did he use to build the house than he did to build the tower?,( y - x ),Randy has 86 blocks. He uses 79 blocks to build a tower and 82 blocks to build a house. How many more blocks did he use to build the house than he did to build the tower?,3
944,With w dollars x packs of dvds can be bought. How much does each pack cost?,( w / x ),With 28 dollars 2 packs of dvds can be bought. How much does each pack cost?,14
945,Last week Fred had w dollars and Jason had x dollars. Jason delivered newspapers and now has y dollars. Fred washed cars over the weekend and now has z dollars. How much money did Jason earn by delivering newspapers?,( y - x ),Last week Fred had 78 dollars and Jason had 31 dollars. Jason delivered newspapers and now has 57 dollars. Fred washed cars over the weekend and now has 90 dollars. How much money did Jason earn by delivering newspapers?,26
